City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Selma,Texas,11241,1825,San Antonio-New Braunfels,2590732,95,62,33,34,83,223,0,67.9,55.9,8,11,42,32,35.64%,$84712,5.02%,$969,752,$285000,1965,$145,12,62.80%,6%,31%,34%,64,26 mins,3.30%,N/A,111.10%,Bexar County,53.70%,40.40%,6.79%,24.68%,32.43%,32.4%,7.98%,Central Standard Time,794,6.3,46.80%,19,N/A,N/A,18.6%,0.00,22,2,1,N/A,N/A,TX-66704
Shavano Park,Texas,3874,1064,San Antonio-New Braunfels,2590732,96,63,33,33,84,225,0,67.9,55.9,8,7,28,53,64.27%,$198295,3.51%,$1199,899,$839800,3267,$257,28,88.20%,5%,34%,34%,58,32 mins,3.30%,N/A,21.30%,Bexar County,53.70%,40.40%,4.83%,0.88%,65.23%,27.75%,9.73%,Central Standard Time,794,6.3,38.50%,8,N/A,31,17.5%,0.00,18,2,1,N/A,N/A,TX-67268
Somerset,Texas,1821,758,San Antonio-New Braunfels,2590732,97,65,32,29,72,223,0,68.1,56.3,8,11,27,37,14.83%,$62936,13.19%,N/A,N/A,$255000,1634,$156,37,65.30%,6%,37%,39%,69,25 mins,3.30%,N/A,-17.70%,Bexar County,53.70%,40.40%,0.33%,1.37%,18.07%,79.96%,6.21%,Central Standard Time,794,6.3,52.60%,41,N/A,44,13.9%,85.32,23,2,5,N/A,N/A,TX-68708
St. Hedwig,Texas,2170,73,San Antonio-New Braunfels,2590732,96,63,33,32,72,227,0,68.3,56.4,N/A,13,25,41,N/A,$71550,4%,N/A,N/A,$257300,N/A,N/A,28,86.70%,6%,35%,40%,71,31 mins,3.30%,N/A,1.30%,Bexar County,53.70%,40.40%,0.0%,0.0%,87.4%,11.9%,3.2%,Central Standard Time,794,6.3,44.00%,13,N/A,35,14.9%,0.00,22,2,1,N/A,N/A,N/A
Staples,Texas,180,183,San Antonio-New Braunfels,2590732,96,62,34,35,84,224,0,67.3,55.1,7,14,26,62,20.13%,$72500,0.56%,N/A,N/A,$519000,3089,$168,45,65.70%,8%,36%,42%,70,23 mins,3.20%,N/A,-60.50%,Guadalupe County,31.60%,63.00%,0.0%,4.44%,62.22%,28.89%,0.0%,Central Standard Time,794,5.9,36.80%,7,N/A,25,16.0%,15.36,25,1,0,N/A,N/A,TX-70052
Stockdale,Texas,1353,798,San Antonio-New Braunfels,2590732,96,64,32,32,68,223,0,68.2,56.6,8,18,34,40,19.57%,$65903,15.87%,N/A,N/A,$399500,1866,$214,34,52.20%,12%,43%,48%,76,22 mins,3.10%,N/A,-25.50%,Wilson County,24.70%,72.20%,3.4%,0.0%,43.16%,49.08%,13.6%,Central Standard Time,794,6,50.20%,24,N/A,40,12.4%,87.83,23,1,46,N/A,N/A,TX-70376
Terrell Hills,Texas,5409,3200,San Antonio-New Braunfels,2590732,96,63,33,33,85,228,0,67.9,55.9,8,7,28,40,73.82%,$183832,2.94%,$1293,905,$786500,2990,$263,61,80.80%,4%,35%,37%,56,25 mins,3.30%,N/A,7.40%,Bexar County,53.70%,40.40%,0.61%,0.81%,76.26%,20.56%,3.25%,Central Standard Time,794,6.3,34.40%,25,N/A,N/A,17.1%,0.00,21,2,2,N/A,N/A,TX-72296
Timberwood Park,Texas,25003,1286,San Antonio-New Braunfels,2590732,95,62,33,34,64,227,0,66.1,54.2,N/A,13,29,39,53.86%,$113875,3.2%,$1363,1002,$490000,2768,$177,13,80.10%,6%,28%,37%,67,31 mins,3.30%,N/A,123.00%,Bexar County,53.70%,40.40%,6.48%,4.24%,55.17%,30.5%,14.53%,Central Standard Time,794,6.3,37.50%,8,N/A,14,19.4%,0.00,20,1,1,N/A,N/A,TX-73057
Universal City,Texas,20691,3590,San Antonio-New Braunfels,2590732,95,62,33,34,83,221,0,67.8,55.6,8,14,34,35,31.04%,$64170,11.3%,$969,752,$250000,1785,$140,34,56.50%,7%,35%,40%,61,23 mins,3.30%,N/A,13.00%,Bexar County,53.70%,40.40%,2.4%,9.12%,45.42%,38.58%,9.4%,Central Standard Time,794,6.3,49.00%,34,N/A,42,16.6%,7.57,22,2,2,N/A,N/A,TX-74408
Von Ormy,Texas,1022,709,San Antonio-New Braunfels,2590732,97,65,32,29,71,224,0,68.3,56.4,8,19,36,31,7.82%,$40000,25.56%,N/A,N/A,$273000,1674,$163,28,66.30%,6%,37%,41%,68,28 mins,3.30%,N/A,-6.90%,Bexar County,53.70%,40.40%,0.0%,1.76%,6.65%,91.19%,11.64%,Central Standard Time,794,6.3,48.60%,19,N/A,27,15.0%,247.66,21,2,4,N/A,N/A,TX-75764
Windcrest,Texas,5854,2675,San Antonio-New Braunfels,2590732,96,63,33,33,79,223,0,67.9,55.9,8,17,83,47,45.47%,$80069,15.35%,$976,994,$302500,2309,$131,43,73.30%,5%,36%,45%,63,25 mins,3.30%,N/A,9.10%,Bexar County,53.70%,40.40%,4.6%,9.02%,53.6%,32.35%,8.17%,Central Standard Time,794,6.3,50.30%,52,N/A,51,16.3%,0.00,21,2,2,N/A,N/A,TX-79672
Zuehl,Texas,515,82,San Antonio-New Braunfels,2590732,95,62,33,34,77,224,0,67.6,55.6,7,13,23,53,22.27%,$68194,0.0%,N/A,N/A,$335000,1572,$213,34,100.00%,8%,38%,41%,71,26 mins,3.20%,N/A,-24.00%,Guadalupe County,31.60%,63.00%,0.0%,0.0%,54.37%,38.06%,1.55%,Central Standard Time,794,5.9,38.20%,0,N/A,25,17.0%,0.00,22,1,1,N/A,N/A,TX-80836
